2026-03-21 11:32:47,285 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 2.22ms | Query: SELECT COALESCE(SUM(amount), 0) FROM salary_adjustments WHERE staff_id = %s AND applied_to_salary_payment_id IS NULL
2026-03-21 11:32:47,289 | INFO     | app.py:39 | RESP | GET /api/staff/14/salary-estimate | Status: 200
2026-03-21 11:32:47,298 | INFO     | app.py:35 | REQ  | GET /api/schedule | Args: {'staff_id': '14', 'start': '2026-03-01T00:00:00Z', 'end': '2026-04-21T23:59:59Z', 'status': 'accepted', 'unpaid': 'true'}
2026-03-21 11:32:47,299 | INFO     | app.py:35 | REQ  | GET /api/staff/14/salary-estimate | Args: {'from': '2026-03-01', 'to': '2026-04-21'}
2026-03-21 11:32:47,305 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 1.15ms | Query: SELECT s.base_salary, s.commission_rate, s.total_revenue, r.name, s.last_paid_at FROM staff s JOIN staff_roles r ON r.id = s.role_id WHERE s.id = %s
2026-03-21 11:32:47,306 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.49ms | Query: SELECT lab_cost FROM income_records LIMIT 0
2026-03-21 11:32:47,308 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 1.08ms | Query: SELECT COALESCE( SUM( (EXTRACT(EPOCH FROM (end_time - start_time)) / 3600.0) * (COALESCE(completion_percent, 100) / 100.0) * COALESCE(pay_multiplier, 1.0) ), 0 ) FROM shifts WHERE staff_id = %s AND st...
2026-03-21 11:32:47,308 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 0.42ms | Query: SELECT COALESCE(SUM(amount), 0) FROM salary_adjustments WHERE staff_id = %s AND applied_to_salary_payment_id IS NULL
2026-03-21 11:32:47,309 | DEBUG    | debugger.py:181 | SQL_EXEC | Time: 5.05ms | Query: SELECT EXISTS ( SELECT 1 FROM information_schema.columns WHERE table_name = 'shifts' AND column_name = 'salary_payment_id' )
2026-03-21 11:32:47,309 | INFO     | app.py:39 | RESP | GET /api/staff/14/salary-estimate | Status: 200
